snapshot_date,underlying,call_volume,put_volume,total_volume,call_share,put_share,put_call_ratio,contracts_seen
2026-05-29,US.TNA,13046,16619,29665,0.4398,0.5602,1.2739,200
2026-05-29,US.TSLA,1905380,937199,2842579,0.6703,0.3297,0.4919,200
2026-05-29,US.TSM,57767,30650,88417,0.6533,0.3467,0.5306,200
2026-05-29,US.TWLO,5234,1295,6529,0.8017,0.1983,0.2474,200
2026-05-29,US.UPST,30790,9137,39927,0.7712,0.2288,0.2968,200
2026-05-29,US.UVXY,28169,13964,42133,0.6686,0.3314,0.4957,200
2026-05-29,US.VEEV,2920,1085,4005,0.7291,0.2709,0.3716,200
2026-05-29,US.VST,15114,4960,20074,0.7529,0.2471,0.3282,200
2026-05-29,US.WDAY,18111,6600,24711,0.7329,0.2671,0.3644,200
2026-05-29,US.XOM,26106,18579,44685,0.5842,0.4158,0.7117,200
2026-05-29,US.XYF,0,0,0,0.0,0.0,0.0,0
2026-05-29,US.YINN,3421,5060,8481,0.4034,0.5966,1.4791,200
2026-06-01,US.AAPL,287180,112585,399765,0.7184,0.2816,0.392,200
2026-06-01,US.ADSK,3637,6345,9982,0.3644,0.6356,1.7446,200
2026-06-01,US.AIFC,368,0,368,1.0,0.0,0.0,78
2026-06-01,US.AMD,117581,86409,203990,0.5764,0.4236,0.7349,200
2026-06-01,US.AMZN,657199,96540,753739,0.8719,0.1281,0.1469,200
2026-06-01,US.APLD,48118,17818,65936,0.7298,0.2702,0.3703,200
2026-06-01,US.ASML,11386,3486,14872,0.7656,0.2344,0.3062,200
2026-06-01,US.ASX,3101,622,3723,0.8329,0.1671,0.2006,200
2026-06-01,US.AVGO,121712,31481,153193,0.7945,0.2055,0.2587,200
2026-06-01,US.BABA,81583,20006,101589,0.8031,0.1969,0.2452,200
2026-06-01,US.BBAI,160269,18251,178520,0.8978,0.1022,0.1139,200
2026-06-01,US.BMNR,75116,47522,122638,0.6125,0.3875,0.6326,200
2026-06-01,US.CBRS,13245,8222,21467,0.617,0.383,0.6208,200
2026-06-01,US.CLBT,1147,139,1286,0.8919,0.1081,0.1212,104
2026-06-01,US.COHR,9354,11131,20485,0.4566,0.5434,1.19,200
2026-06-01,US.COIN,46619,24507,71126,0.6554,0.3446,0.5257,200
2026-06-01,US.CRCL,33868,12416,46284,0.7317,0.2683,0.3666,200
2026-06-01,US.CRM,185453,24038,209491,0.8853,0.1147,0.1296,200
2026-06-01,US.CRWD,20187,4650,24837,0.8128,0.1872,0.2303,200
2026-06-01,US.CRWV,355585,30926,386511,0.92,0.08,0.087,200
2026-06-01,US.CVX,24989,11954,36943,0.6764,0.3236,0.4784,200
2026-06-01,US.DDOG,29375,24981,54356,0.5404,0.4596,0.8504,200
2026-06-01,US.DELL,69187,20590,89777,0.7707,0.2293,0.2976,200
2026-06-01,US.DJT,24242,2128,26370,0.9193,0.0807,0.0878,200
2026-06-01,US.DUOL,6488,3316,9804,0.6618,0.3382,0.5111,200
2026-06-01,US.EWT,6172,1129,7301,0.8454,0.1546,0.1829,200
2026-06-01,US.FCX,27055,12429,39484,0.6852,0.3148,0.4594,200
2026-06-01,US.FICO,476,643,1119,0.4254,0.5746,1.3508,200
2026-06-01,US.FUTU,6443,7937,14380,0.4481,0.5519,1.2319,200
2026-06-01,US.GDS,1401,250,1651,0.8486,0.1514,0.1784,200
2026-06-01,US.GEMI,1956,1264,3220,0.6075,0.3925,0.6462,200
2026-06-01,US.GEV,3773,8361,12134,0.3109,0.6891,2.216,200
2026-06-01,US.GOOGL,76079,38394,114473,0.6646,0.3354,0.5047,200
2026-06-01,US.GWRE,1449,591,2040,0.7103,0.2897,0.4079,200
2026-06-01,US.HOOD,250527,51832,302359,0.8286,0.1714,0.2069,200
2026-06-01,US.HPE,243820,75816,319636,0.7628,0.2372,0.311,200
2026-06-01,US.IBIT,132198,150677,282875,0.4673,0.5327,1.1398,200
2026-06-01,US.IBM,169395,25993,195388,0.867,0.133,0.1534,200
2026-06-01,US.IGV,227140,88432,315572,0.7198,0.2802,0.3893,200
2026-06-01,US.INTC,288950,160415,449365,0.643,0.357,0.5552,200
2026-06-01,US.INTU,19461,6106,25567,0.7612,0.2388,0.3138,200
2026-06-01,US.IREN,214994,28023,243017,0.8847,0.1153,0.1303,200
2026-06-01,US.IWM,161366,549451,710817,0.227,0.773,3.405,200
2026-06-01,US.JD,21361,9774,31135,0.6861,0.3139,0.4576,200
2026-06-01,US.KC,1602,66,1668,0.9604,0.0396,0.0412,140
2026-06-01,US.LI,5382,4256,9638,0.5584,0.4416,0.7908,200
2026-06-01,US.LITE,14280,6307,20587,0.6936,0.3064,0.4417,200
2026-06-01,US.MANH,217,21,238,0.9118,0.0882,0.0968,200
2026-06-01,US.MARA,119182,31130,150312,0.7929,0.2071,0.2612,200
2026-06-01,US.MDB,31216,10550,41766,0.7474,0.2526,0.338,200
2026-06-01,US.META,334689,58937,393626,0.8503,0.1497,0.1761,200
2026-06-01,US.MP,33127,7641,40768,0.8126,0.1874,0.2307,200
2026-06-01,US.MRNA,12410,8321,20731,0.5986,0.4014,0.6705,200
2026-06-01,US.MRVL,121866,28820,150686,0.8087,0.1913,0.2365,200
2026-06-01,US.MSFT,639489,27238,666727,0.9591,0.0409,0.0426,200
2026-06-01,US.MSTR,86902,70069,156971,0.5536,0.4464,0.8063,200
2026-06-01,US.NBIS,95211,45998,141209,0.6743,0.3257,0.4831,200
2026-06-01,US.NET,52644,21470,74114,0.7103,0.2897,0.4078,200
2026-06-01,US.NOW,258660,67665,326325,0.7926,0.2074,0.2616,200
2026-06-01,US.NVDA,1487945,236760,1724705,0.8627,0.1373,0.1591,200
2026-06-01,US.OKLO,65544,8067,73611,0.8904,0.1096,0.1231,200
2026-06-01,US.OPEN,195355,26760,222115,0.8795,0.1205,0.137,200
2026-06-01,US.ORCL,486437,55028,541465,0.8984,0.1016,0.1131,200
2026-06-01,US.PANW,40851,17095,57946,0.705,0.295,0.4185,200
2026-06-01,US.PDD,41473,14987,56460,0.7346,0.2654,0.3614,200
2026-06-01,US.PLTR,515146,83837,598983,0.86,0.14,0.1627,200
2026-06-01,US.QCOM,86929,26718,113647,0.7649,0.2351,0.3074,200
2026-06-01,US.QQQ,437413,551148,988561,0.4425,0.5575,1.26,200
2026-06-01,US.RBRK,13182,1570,14752,0.8936,0.1064,0.1191,200
2026-06-01,US.RDDT,54887,4352,59239,0.9265,0.0735,0.0793,200
2026-06-01,US.REMX,134,297,431,0.3109,0.6891,2.2164,200
2026-06-01,US.RXRX,42083,3508,45591,0.9231,0.0769,0.0834,200
2026-06-01,US.SAP,12862,1663,14525,0.8855,0.1145,0.1293,200
2026-06-01,US.SBET,34134,4376,38510,0.8864,0.1136,0.1282,200
2026-06-01,US.SCO,5785,5054,10839,0.5337,0.4663,0.8736,200
2026-06-01,US.SMCI,176623,83911,260534,0.6779,0.3221,0.4751,200
2026-06-01,US.SNOW,62416,22393,84809,0.736,0.264,0.3588,200
2026-06-01,US.SOFI,334291,51566,385857,0.8664,0.1336,0.1543,200
2026-06-01,US.SOUN,118451,20382,138833,0.8532,0.1468,0.1721,200
2026-06-01,US.SOXL,26880,27399,54279,0.4952,0.5048,1.0193,200
2026-06-01,US.SOXS,135598,31854,167452,0.8098,0.1902,0.2349,200
