snapshot_date,underlying,option_code,option_type,strike,volume,turnover,open_interest,implied_volatility,premium
2026-05-29,US.CRCL,US.CRCL260618C130000,CALL,130.0,1523,531922.0,4210,0.8868,372.5
2026-05-29,US.CRCL,US.CRCL260618C150000,CALL,150.0,1385,192881.0,12141,0.93599,129.5
2026-05-29,US.CRM,US.CRM260717C270000,CALL,270.0,21425,1698377.0,157,0.54208,77.5
2026-05-29,US.CRM,US.CRM260605C205000,CALL,205.0,11648,1757261.0,678,0.53227,126.0
2026-05-29,US.CRM,US.CRM260618C200000,CALL,200.0,8593,4000835.0,19781,0.48134,510.0
2026-05-29,US.CRM,US.CRM260605C200000,CALL,200.0,6512,1431546.0,1815,0.51505,213.0
2026-05-29,US.CRM,US.CRM260605C195000,CALL,195.0,5541,2034530.0,1039,0.49457,347.5
2026-05-29,US.CRM,US.CRM260605C190000,CALL,190.0,5192,2445922.0,3977,0.49339,570.0
2026-05-29,US.CRM,US.CRM260717C200000,CALL,200.0,4462,3754076.0,4923,0.44016,892.5
2026-05-29,US.CRM,US.CRM260618C215000,CALL,215.0,2813,506727.0,2654,0.50518,202.0
2026-05-29,US.CRM,US.CRM260605C210000,CALL,210.0,2763,254131.0,1444,0.55293,75.0
2026-05-29,US.CRM,US.CRM260618C210000,CALL,210.0,2762,726714.0,5778,0.49484,274.0
2026-05-29,US.CRWD,US.CRWD260605C800000,CALL,800.0,1157,1307810.0,113,0.97083,1472.5
2026-05-29,US.CRWD,US.CRWD260618P250000,PUT,250.0,1121,12596.0,807,2.02789,75.5
2026-05-29,US.CRWD,US.CRWD260618P300000,PUT,300.0,960,12893.0,2291,1.61975,51.0
2026-05-29,US.CRWD,US.CRWD260821C820000,CALL,820.0,813,3337373.0,1117,0.59882,5287.5
2026-05-29,US.CRWD,US.CRWD260618P700000,PUT,700.0,791,3213395.0,58,0.73377,3405.0
2026-05-29,US.CRWD,US.CRWD261218P550000,PUT,550.0,733,3264308.0,759,0.6072,4225.0
2026-05-29,US.CRWD,US.CRWD260605P380000,PUT,380.0,711,4666.0,47,1.8029,14.0
2026-05-29,US.CRWD,US.CRWD260605P350000,PUT,350.0,691,4168.0,51,2.09562,20.5
2026-05-29,US.CRWD,US.CRWD260918C820000,CALL,820.0,691,4075217.0,936,0.60815,6782.5
2026-05-29,US.CRWD,US.CRWD260605C750000,CALL,750.0,604,1440526.0,732,0.95692,2960.0
2026-05-29,US.CRWV,US.CRWV260618C117000,CALL,117.0,29897,17515446.0,811,0.94493,667.5
